Timestamp            ,X          ,Y           ,Z
1741254479.910639726 ,0.202732   ,2.48832     ,0.054995
1741254480.10694438  ,0.216799   ,2.49354     ,0.0549946
1741254480.210974803 ,0.225671   ,2.50684     ,0.0549966
1741254480.411653541 ,0.224462   ,2.52222     ,0.0549947
1741254480.611786481 ,0.22482    ,2.53395     ,0.0549922
1741254480.812394303 ,0.240492   ,2.52962     ,0.0549947
1741254480.912453432 ,0.321995   ,2.50147     ,0.0549991
1741254481.12577167  ,0.418022   ,2.47179     ,0.0549993
1741254481.112586398 ,0.51654    ,2.44133     ,0.0549995
1741254481.212928947 ,0.617538   ,2.41011     ,0.0549997
1741254481.313393310 ,0.720961   ,2.37813     ,0.0549992
1741254481.413578871 ,0.826773   ,2.34541     ,0.0549995
1741254481.513654338 ,0.933936   ,2.31227     ,0.0549981
1741254481.613564164 ,0.985044   ,2.2965      ,0.0549948
1741254481.713669198 ,0.998477   ,2.29367     ,0.0549935
1741254481.913607288 ,1.01158    ,2.30485     ,0.054996
1741254482.113796082 ,1.02813    ,2.30455     ,0.054998
1741254482.214492014 ,1.0961     ,2.25292     ,0.0549991
1741254482.314564449 ,1.17724    ,2.19484     ,0.0549988
1741254482.414747838 ,1.26047    ,2.13527     ,0.0549989
1741254482.514611485 ,1.3458     ,2.0742      ,0.054999
1741254482.614641097 ,1.43321    ,2.01163     ,0.0549989
1741254482.716533474 ,1.52267    ,1.9476      ,0.0549987
1741254482.817088363 ,1.61421    ,1.88209     ,0.054999
1741254482.917101586 ,1.70784    ,1.81508     ,0.0549988
1741254483.17406131  ,1.80356    ,1.74656     ,0.0549988
1741254483.117493684 ,1.86993    ,1.69906     ,0.054999
1741254483.217640081 ,1.88393    ,1.69003     ,0.0549933
1741254483.417775345 ,1.90061    ,1.6921      ,0.0549958
1741254484.820536615 ,1.91182    ,1.68297     ,0.0549925
1741254485.821603195 ,1.89963    ,1.66778     ,0.0549946
1741254485.921722131 ,1.87231    ,1.59584     ,0.0549974
